ADM0_CODE,Animal_short,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
28,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
29,CTL,0.00486979939617226,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
30,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
31,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
33,CTL,0.00441783439423401,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
34,CTL,0.00587870801672237,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
35,CTL,0.00247408234612238,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
37,CTL,0.00554312961536745,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
38,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
39,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
40,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
41,CTL,0.002,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
42,CTL,0.00252920553702368,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
43,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
44,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
45,CTL,0.00557130883386716,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
46,CTL,0.00410658486139644,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
47,CTL,0.002,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
48,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
49,CTL,0.00568038393460072,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
50,CTL,0.00218925949345385,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
51,CTL,0.00310430507916563,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
52,CTL,0.002,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
54,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
56,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
57,CTL,0.0059350524795503,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
58,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
59,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
60,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
61,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
62,CTL,0.00504918825399419,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
63,CTL,0.00592300568159246,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
64,CTL,0.002,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
65,CTL,0.00323167203151443,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
66,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
67,CTL,0.00577019035217087,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
68,CTL,0.00594489542277239,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
69,CTL,0.00542248384936864,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
70,CTL,0.002,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
71,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
72,CTL,0.0059139208961512,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
73,CTL,0.00536299308293237,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
74,CTL,0.00354507704667031,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
75,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
76,CTL,0.006,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
77,CTL,0.00313533252074058,0,0.01,0.01,0.005,0.005,0.02,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0,0.01,0.01,0.07,0.07,0.006,0.01,0.005,0.005,0.001,0.001,0.01,0.005,2019
