ADM0_CODE,Animal_short,HerdType_short,mms_all,mmspasture,ipcc_method
45,BFL,,0.1,0.19,2019
45,PGS,,0.29,0.19,2019
45,SHP,,0.13,0.19,2019
45,GTS,,0.13,0.19,2019
45,CML,,0.21,0.19,2019
45,CHK,LAY,0.39,0.19,2019
45,CHK,BRL,0.36,0.19,2019
49,CTL,DRY,0.13,0.19,2019
49,CTL,,0.1,0.19,2019
49,BFL,,0.1,0.19,2019
49,PGS,,0.29,0.19,2019
49,SHP,,0.13,0.19,2019
49,GTS,,0.13,0.19,2019
49,CML,,0.21,0.19,2019
49,CHK,LAY,0.39,0.19,2019
49,CHK,BRL,0.36,0.19,2019
50,CTL,DRY,0.13,0.19,2019
50,CTL,,0.1,0.19,2019
50,BFL,,0.1,0.19,2019
50,PGS,,0.29,0.19,2019
50,SHP,,0.13,0.19,2019
50,GTS,,0.13,0.19,2019
50,CML,,0.21,0.19,2019
50,CHK,LAY,0.39,0.19,2019
50,CHK,BRL,0.36,0.19,2019
58,CTL,DRY,0.13,0.19,2019
58,CTL,,0.1,0.19,2019
58,BFL,,0.1,0.19,2019
58,PGS,,0.29,0.19,2019
58,SHP,,0.13,0.19,2019
58,GTS,,0.13,0.19,2019
58,CML,,0.21,0.19,2019
58,CHK,LAY,0.39,0.19,2019
58,CHK,BRL,0.36,0.19,2019
59,CTL,DRY,0.13,0.19,2019
59,CTL,,0.1,0.19,2019
59,BFL,,0.1,0.19,2019
59,PGS,,0.29,0.19,2019
59,SHP,,0.13,0.19,2019
59,GTS,,0.13,0.19,2019
59,CML,,0.21,0.19,2019
59,CHK,LAY,0.39,0.19,2019
59,CHK,BRL,0.36,0.19,2019
68,CTL,DRY,0.13,0.19,2019
68,CTL,,0.1,0.19,2019
68,BFL,,0.1,0.19,2019
68,PGS,,0.29,0.19,2019
68,SHP,,0.13,0.19,2019
68,GTS,,0.13,0.19,2019
68,CML,,0.21,0.19,2019
68,CHK,LAY,0.39,0.19,2019
68,CHK,BRL,0.36,0.19,2019
70,CTL,DRY,0.13,0.19,2019
70,CTL,,0.1,0.19,2019
70,BFL,,0.1,0.19,2019
70,PGS,,0.29,0.19,2019
70,SHP,,0.13,0.19,2019
70,GTS,,0.13,0.19,2019
70,CML,,0.21,0.19,2019
70,CHK,LAY,0.39,0.19,2019
70,CHK,BRL,0.36,0.19,2019
76,CTL,DRY,0.13,0.19,2019
76,CTL,,0.1,0.19,2019
76,BFL,,0.1,0.19,2019
76,PGS,,0.29,0.19,2019
76,SHP,,0.13,0.19,2019
76,GTS,,0.13,0.19,2019
76,CML,,0.21,0.19,2019
76,CHK,LAY,0.39,0.19,2019
76,CHK,BRL,0.36,0.19,2019
77,CTL,DRY,0.13,0.19,2019
77,CTL,,0.1,0.19,2019
77,BFL,,0.1,0.19,2019
77,PGS,,0.29,0.19,2019
77,SHP,,0.13,0.19,2019
77,GTS,,0.13,0.19,2019
77,CML,,0.21,0.19,2019
77,CHK,LAY,0.39,0.19,2019
77,CHK,BRL,0.36,0.19,2019
235,CTL,DRY,0.13,0.19,2019
235,CTL,,0.1,0.19,2019
235,BFL,,0.1,0.19,2019
235,PGS,,0.29,0.19,2019
235,SHP,,0.13,0.19,2019
235,GTS,,0.13,0.19,2019
235,CML,,0.21,0.19,2019
235,CHK,LAY,0.39,0.19,2019
235,CHK,BRL,0.36,0.19,2019
79,CTL,DRY,0.13,0.19,2019
79,CTL,,0.1,0.19,2019
79,BFL,,0.1,0.19,2019
79,PGS,,0.29,0.19,2019
79,SHP,,0.13,0.19,2019
79,GTS,,0.13,0.19,2019
79,CML,,0.21,0.19,2019
79,CHK,LAY,0.39,0.19,2019
79,CHK,BRL,0.36,0.19,2019
89,CTL,DRY,0.13,0.19,2019
89,CTL,,0.1,0.19,2019
89,BFL,,0.1,0.19,2019
89,PGS,,0.29,0.19,2019
89,SHP,,0.13,0.19,2019
89,GTS,,0.13,0.19,2019
89,CML,,0.21,0.19,2019
89,CHK,LAY,0.39,0.19,2019
89,CHK,BRL,0.36,0.19,2019
90,CTL,DRY,0.13,0.19,2019
90,CTL,,0.1,0.19,2019
90,BFL,,0.1,0.19,2019
90,PGS,,0.29,0.19,2019
90,SHP,,0.13,0.19,2019
90,GTS,,0.13,0.19,2019
90,CML,,0.21,0.19,2019
90,CHK,LAY,0.39,0.19,2019
90,CHK,BRL,0.36,0.19,2019
94,CTL,DRY,0.13,0.19,2019
94,CTL,,0.1,0.19,2019
94,BFL,,0.1,0.19,2019
94,PGS,,0.29,0.19,2019
94,SHP,,0.13,0.19,2019
94,GTS,,0.13,0.19,2019
94,CML,,0.21,0.19,2019
94,CHK,LAY,0.39,0.19,2019
94,CHK,BRL,0.36,0.19,2019
106,CTL,DRY,0.13,0.19,2019
106,CTL,,0.1,0.19,2019
106,BFL,,0.1,0.19,2019
106,PGS,,0.29,0.19,2019
106,SHP,,0.13,0.19,2019
106,GTS,,0.13,0.19,2019
106,CML,,0.21,0.19,2019
106,CHK,LAY,0.39,0.19,2019
106,CHK,BRL,0.36,0.19,2019
105,CTL,DRY,0.13,0.19,2019
105,CTL,,0.1,0.19,2019
105,BFL,,0.1,0.19,2019
105,PGS,,0.29,0.19,2019
105,SHP,,0.13,0.19,2019
105,GTS,,0.13,0.19,2019
105,CML,,0.21,0.19,2019
105,CHK,LAY,0.39,0.19,2019
105,CHK,BRL,0.36,0.19,2019
133,CTL,DRY,0.13,0.19,2019
133,CTL,,0.1,0.19,2019
133,BFL,,0.1,0.19,2019
133,PGS,,0.29,0.19,2019
133,SHP,,0.13,0.19,2019
133,GTS,,0.13,0.19,2019
133,CML,,0.21,0.19,2019
133,CHK,LAY,0.39,0.19,2019
133,CHK,BRL,0.36,0.19,2019
142,CTL,DRY,0.13,0.19,2019
142,CTL,,0.1,0.19,2019
142,BFL,,0.1,0.19,2019
142,PGS,,0.29,0.19,2019
142,SHP,,0.13,0.19,2019
142,GTS,,0.13,0.19,2019
142,CML,,0.21,0.19,2019
142,CHK,LAY,0.39,0.19,2019
142,CHK,BRL,0.36,0.19,2019
144,CTL,DRY,0.13,0.19,2019
144,CTL,,0.1,0.19,2019
144,BFL,,0.1,0.19,2019
144,PGS,,0.29,0.19,2019
144,SHP,,0.13,0.19,2019
144,GTS,,0.13,0.19,2019
144,CML,,0.21,0.19,2019
144,CHK,LAY,0.39,0.19,2019
144,CHK,BRL,0.36,0.19,2019
150,CTL,DRY,0.13,0.19,2019
150,CTL,,0.1,0.19,2019
150,BFL,,0.1,0.19,2019
150,PGS,,0.29,0.19,2019
150,SHP,,0.13,0.19,2019
150,GTS,,0.13,0.19,2019
150,CML,,0.21,0.19,2019
150,CHK,LAY,0.39,0.19,2019
150,CHK,BRL,0.36,0.19,2019
152,CTL,DRY,0.13,0.19,2019
152,CTL,,0.1,0.19,2019
152,BFL,,0.1,0.19,2019
152,PGS,,0.29,0.19,2019
152,SHP,,0.13,0.19,2019
152,GTS,,0.13,0.19,2019
152,CML,,0.21,0.19,2019
152,CHK,LAY,0.39,0.19,2019
152,CHK,BRL,0.36,0.19,2019
155,CTL,DRY,0.13,0.19,2019
155,CTL,,0.1,0.19,2019
155,BFL,,0.1,0.19,2019
155,PGS,,0.29,0.19,2019
155,SHP,,0.13,0.19,2019
155,GTS,,0.13,0.19,2019
155,CML,,0.21,0.19,2019
155,CHK,LAY,0.39,0.19,2019
155,CHK,BRL,0.36,0.19,2019
159,CTL,DRY,0.13,0.19,2019
159,CTL,,0.1,0.19,2019
159,BFL,,0.1,0.19,2019
159,PGS,,0.29,0.19,2019
159,SHP,,0.13,0.19,2019
159,GTS,,0.13,0.19,2019
159,CML,,0.21,0.19,2019
159,CHK,LAY,0.39,0.19,2019
159,CHK,BRL,0.36,0.19,2019
160,CTL,DRY,0.13,0.19,2019
160,CTL,,0.1,0.19,2019
160,BFL,,0.1,0.19,2019
160,PGS,,0.29,0.19,2019
160,SHP,,0.13,0.19,2019
160,GTS,,0.13,0.19,2019
160,CML,,0.21,0.19,2019
160,CHK,LAY,0.39,0.19,2019
160,CHK,BRL,0.36,0.19,2019
161,CTL,DRY,0.13,0.19,2019
161,CTL,,0.1,0.19,2019
161,BFL,,0.1,0.19,2019
161,PGS,,0.29,0.19,2019
161,SHP,,0.13,0.19,2019
161,GTS,,0.13,0.19,2019
161,CML,,0.21,0.19,2019
161,CHK,LAY,0.39,0.19,2019
161,CHK,BRL,0.36,0.19,2019
170,CTL,DRY,0.13,0.19,2019
170,CTL,,0.1,0.19,2019
170,BFL,,0.1,0.19,2019
170,PGS,,0.29,0.19,2019
170,SHP,,0.13,0.19,2019
170,GTS,,0.13,0.19,2019
170,CML,,0.21,0.19,2019
170,CHK,LAY,0.39,0.19,2019
170,CHK,BRL,0.36,0.19,2019
172,CTL,DRY,0.13,0.19,2019
172,CTL,,0.1,0.19,2019
172,BFL,,0.1,0.19,2019
172,PGS,,0.29,0.19,2019
172,SHP,,0.13,0.19,2019
172,GTS,,0.13,0.19,2019
172,CML,,0.21,0.19,2019
172,CHK,LAY,0.39,0.19,2019
172,CHK,BRL,0.36,0.19,2019
181,CTL,DRY,0.13,0.19,2019
181,CTL,,0.1,0.19,2019
181,BFL,,0.1,0.19,2019
181,PGS,,0.29,0.19,2019
181,SHP,,0.13,0.19,2019
181,GTS,,0.13,0.19,2019
181,CML,,0.21,0.19,2019
181,CHK,LAY,0.39,0.19,2019
181,CHK,BRL,0.36,0.19,2019
182,CTL,DRY,0.13,0.19,2019
182,CTL,,0.1,0.19,2019
182,BFL,,0.1,0.19,2019
182,PGS,,0.29,0.19,2019
182,SHP,,0.13,0.19,2019
182,GTS,,0.13,0.19,2019
182,CML,,0.21,0.19,2019
182,CHK,LAY,0.39,0.19,2019
182,CHK,BRL,0.36,0.19,2019
206,CTL,DRY,0.13,0.19,2019
206,CTL,,0.1,0.19,2019
206,BFL,,0.1,0.19,2019
206,PGS,,0.29,0.19,2019
206,SHP,,0.13,0.19,2019
206,GTS,,0.13,0.19,2019
206,CML,,0.21,0.19,2019
206,CHK,LAY,0.39,0.19,2019
206,CHK,BRL,0.36,0.19,2019
205,CTL,DRY,0.13,0.19,2019
205,CTL,,0.1,0.19,2019
205,BFL,,0.1,0.19,2019
205,PGS,,0.29,0.19,2019
205,SHP,,0.13,0.19,2019
205,GTS,,0.13,0.19,2019
205,CML,,0.21,0.19,2019
205,CHK,LAY,0.39,0.19,2019
205,CHK,BRL,0.36,0.19,2019
207,CTL,DRY,0.13,0.19,2019
207,CTL,,0.1,0.19,2019
207,BFL,,0.1,0.19,2019
207,PGS,,0.29,0.19,2019
207,SHP,,0.13,0.19,2019
207,GTS,,0.13,0.19,2019
207,CML,,0.21,0.19,2019
207,CHK,LAY,0.39,0.19,2019
207,CHK,BRL,0.36,0.19,2019
214,CTL,DRY,0.13,0.19,2019
214,CTL,,0.1,0.19,2019
214,BFL,,0.1,0.19,2019
214,PGS,,0.29,0.19,2019
214,SHP,,0.13,0.19,2019
214,GTS,,0.13,0.19,2019
214,CML,,0.21,0.19,2019
214,CHK,LAY,0.39,0.19,2019
214,CHK,BRL,0.36,0.19,2019
217,CTL,DRY,0.13,0.19,2019
217,CTL,,0.1,0.19,2019
217,BFL,,0.1,0.19,2019
217,PGS,,0.29,0.19,2019
217,SHP,,0.13,0.19,2019
217,GTS,,0.13,0.19,2019
217,CML,,0.21,0.19,2019
217,CHK,LAY,0.39,0.19,2019
217,CHK,BRL,0.36,0.19,2019
220,CTL,DRY,0.13,0.19,2019
220,CTL,,0.1,0.19,2019
220,BFL,,0.1,0.19,2019
220,PGS,,0.29,0.19,2019
220,SHP,,0.13,0.19,2019
220,GTS,,0.13,0.19,2019
220,CML,,0.21,0.19,2019
220,CHK,LAY,0.39,0.19,2019
220,CHK,BRL,0.36,0.19,2019
221,CTL,DRY,0.13,0.19,2019
221,CTL,,0.1,0.19,2019
221,BFL,,0.1,0.19,2019
221,PGS,,0.29,0.19,2019
221,SHP,,0.13,0.19,2019
221,GTS,,0.13,0.19,2019
221,CML,,0.21,0.19,2019
221,CHK,LAY,0.39,0.19,2019
221,CHK,BRL,0.36,0.19,2019
226,CTL,DRY,0.13,0.19,2019
226,CTL,,0.1,0.19,2019
226,BFL,,0.1,0.19,2019
226,PGS,,0.29,0.19,2019
226,SHP,,0.13,0.19,2019
226,GTS,,0.13,0.19,2019
226,CML,,0.21,0.19,2019
226,CHK,LAY,0.39,0.19,2019
226,CHK,BRL,0.36,0.19,2019
227,CTL,DRY,0.13,0.19,2019
227,CTL,,0.1,0.19,2019
227,BFL,,0.1,0.19,2019
227,PGS,,0.29,0.19,2019
227,SHP,,0.13,0.19,2019
227,GTS,,0.13,0.19,2019
227,CML,,0.21,0.19,2019
227,CHK,LAY,0.39,0.19,2019
227,CHK,BRL,0.36,0.19,2019
243,CTL,DRY,0.13,0.19,2019
243,CTL,,0.1,0.19,2019
243,BFL,,0.1,0.19,2019
243,PGS,,0.29,0.19,2019
243,SHP,,0.13,0.19,2019
243,GTS,,0.13,0.19,2019
243,CML,,0.21,0.19,2019
243,CHK,LAY,0.39,0.19,2019
243,CHK,BRL,0.36,0.19,2019
253,CTL,DRY,0.13,0.19,2019
253,CTL,,0.1,0.19,2019
253,BFL,,0.1,0.19,2019
253,PGS,,0.29,0.19,2019
253,SHP,,0.13,0.19,2019
253,GTS,,0.13,0.19,2019
253,CML,,0.21,0.19,2019
253,CHK,LAY,0.39,0.19,2019
253,CHK,BRL,0.36,0.19,2019
257,CTL,DRY,0.13,0.19,2019
257,CTL,,0.1,0.19,2019
257,BFL,,0.1,0.19,2019
257,PGS,,0.29,0.19,2019
257,SHP,,0.13,0.19,2019
257,GTS,,0.13,0.19,2019
257,CML,,0.21,0.19,2019
257,CHK,LAY,0.39,0.19,2019
257,CHK,BRL,0.36,0.19,2019
270,CTL,DRY,0.13,0.19,2019
270,CTL,,0.1,0.19,2019
270,BFL,,0.1,0.19,2019
270,PGS,,0.29,0.19,2019
270,SHP,,0.13,0.19,2019
270,GTS,,0.13,0.19,2019
270,CML,,0.21,0.19,2019
270,CHK,LAY,0.39,0.19,2019
270,CHK,BRL,0.36,0.19,2019
271,CTL,DRY,0.13,0.19,2019
271,CTL,,0.1,0.19,2019
271,BFL,,0.1,0.19,2019
271,PGS,,0.29,0.19,2019
271,SHP,,0.13,0.19,2019
271,GTS,,0.13,0.19,2019
271,CML,,0.21,0.19,2019
271,CHK,LAY,0.39,0.19,2019
271,CHK,BRL,0.36,0.19,2019
2,CTL,DRY,0.13,0.19,2019
2,CTL,,0.1,0.19,2019
2,BFL,,0.1,0.19,2019
2,PGS,,0.29,0.19,2019
2,SHP,,0.13,0.19,2019
2,GTS,,0.13,0.19,2019
2,CML,,0.21,0.19,2019
2,CHK,LAY,0.39,0.19,2019
2,CHK,BRL,0.36,0.19,2019
15,CTL,DRY,0.13,0.19,2019
15,CTL,,0.1,0.19,2019
15,BFL,,0.1,0.19,2019
15,PGS,,0.29,0.19,2019
15,SHP,,0.13,0.19,2019
15,GTS,,0.13,0.19,2019
15,CML,,0.21,0.19,2019
15,CHK,LAY,0.39,0.19,2019
15,CHK,BRL,0.36,0.19,2019
40,CTL,DRY,0.13,0.19,2019
40,CTL,,0.1,0.19,2019
40,BFL,,0.1,0.19,2019
40,PGS,,0.29,0.19,2019
40,SHP,,0.13,0.19,2019
40,GTS,,0.13,0.19,2019
40,CML,,0.21,0.19,2019
40,CHK,LAY,0.39,0.19,2019
40,CHK,BRL,0.36,0.19,2019
44,CTL,DRY,0.13,0.19,2019
44,CTL,,0.1,0.19,2019
44,BFL,,0.1,0.19,2019
44,PGS,,0.29,0.19,2019
44,SHP,,0.13,0.19,2019
44,GTS,,0.13,0.19,2019
44,CML,,0.21,0.19,2019
44,CHK,LAY,0.39,0.19,2019
44,CHK,BRL,0.36,0.19,2019
147295,CTL,DRY,0.13,0.19,2019
147295,CTL,,0.1,0.19,2019
147295,BFL,,0.1,0.19,2019
147295,PGS,,0.29,0.19,2019
147295,SHP,,0.13,0.19,2019
147295,GTS,,0.13,0.19,2019
147295,CML,,0.21,0.19,2019
147295,CHK,LAY,0.39,0.19,2019
147295,CHK,BRL,0.36,0.19,2019
33364,CTL,DRY,0.13,0.19,2019
33364,CTL,,0.1,0.19,2019
33364,BFL,,0.1,0.19,2019
33364,PGS,,0.29,0.19,2019
33364,SHP,,0.13,0.19,2019
33364,GTS,,0.13,0.19,2019
33364,CML,,0.21,0.19,2019
33364,CHK,LAY,0.39,0.19,2019
33364,CHK,BRL,0.36,0.19,2019
149,CTL,DRY,0.13,0.19,2019
149,CTL,,0.1,0.19,2019
149,BFL,,0.1,0.19,2019
149,PGS,,0.29,0.19,2019
149,SHP,,0.13,0.19,2019
149,GTS,,0.13,0.19,2019
149,CML,,0.21,0.19,2019
149,CHK,LAY,0.39,0.19,2019
149,CHK,BRL,0.36,0.19,2019
147296,CTL,DRY,0.13,0.19,2019
147296,CTL,,0.1,0.19,2019
147296,BFL,,0.1,0.19,2019
147296,PGS,,0.29,0.19,2019
147296,SHP,,0.13,0.19,2019
147296,GTS,,0.13,0.19,2019
147296,CML,,0.21,0.19,2019
147296,CHK,LAY,0.39,0.19,2019
147296,CHK,BRL,0.36,0.19,2019
52,CTL,DRY,0.13,0.19,2019
52,CTL,,0.1,0.19,2019
52,BFL,,0.1,0.19,2019
52,PGS,,0.29,0.19,2019
52,SHP,,0.13,0.19,2019
52,GTS,,0.13,0.19,2019
52,CML,,0.21,0.19,2019
52,CHK,LAY,0.39,0.19,2019
52,CHK,BRL,0.36,0.19,2019
67,CTL,DRY,0.13,0.19,2019
67,CTL,,0.1,0.19,2019
67,BFL,,0.1,0.19,2019
67,PGS,,0.29,0.19,2019
67,SHP,,0.13,0.19,2019
67,GTS,,0.13,0.19,2019
67,CML,,0.21,0.19,2019
67,CHK,LAY,0.39,0.19,2019
67,CHK,BRL,0.36,0.19,2019
116,CTL,DRY,0.13,0.19,2019
116,CTL,,0.1,0.19,2019
116,BFL,,0.1,0.19,2019
116,PGS,,0.29,0.19,2019
116,SHP,,0.13,0.19,2019
116,GTS,,0.13,0.19,2019
116,CML,,0.21,0.19,2019
116,CHK,LAY,0.39,0.19,2019
116,CHK,BRL,0.36,0.19,2019
40781,CTL,DRY,0.13,0.19,2019
40781,CTL,,0.1,0.19,2019
40781,BFL,,0.1,0.19,2019
40781,PGS,,0.29,0.19,2019
40781,SHP,,0.13,0.19,2019
40781,GTS,,0.13,0.19,2019
40781,CML,,0.21,0.19,2019
40781,CHK,LAY,0.39,0.19,2019
40781,CHK,BRL,0.36,0.19,2019
126,CTL,DRY,0.13,0.19,2019
126,CTL,,0.1,0.19,2019
126,BFL,,0.1,0.19,2019
126,PGS,,0.29,0.19,2019
126,SHP,,0.13,0.19,2019
126,GTS,,0.13,0.19,2019
126,CML,,0.21,0.19,2019
126,CHK,LAY,0.39,0.19,2019
126,CHK,BRL,0.36,0.19,2019
136,CTL,DRY,0.13,0.19,2019
136,CTL,,0.1,0.19,2019
136,BFL,,0.1,0.19,2019
136,PGS,,0.29,0.19,2019
136,SHP,,0.13,0.19,2019
136,GTS,,0.13,0.19,2019
136,CML,,0.21,0.19,2019
136,CHK,LAY,0.39,0.19,2019
136,CHK,BRL,0.36,0.19,2019
139,CTL,DRY,0.13,0.19,2019
139,CTL,,0.1,0.19,2019
139,BFL,,0.1,0.19,2019
139,PGS,,0.29,0.19,2019
139,SHP,,0.13,0.19,2019
139,GTS,,0.13,0.19,2019
139,CML,,0.21,0.19,2019
139,CHK,LAY,0.39,0.19,2019
139,CHK,BRL,0.36,0.19,2019
153,CTL,DRY,0.13,0.19,2019
153,CTL,,0.1,0.19,2019
153,BFL,,0.1,0.19,2019
153,PGS,,0.29,0.19,2019
153,SHP,,0.13,0.19,2019
153,GTS,,0.13,0.19,2019
153,CML,,0.21,0.19,2019
153,CHK,LAY,0.39,0.19,2019
153,CHK,BRL,0.36,0.19,2019
167,CTL,DRY,0.13,0.19,2019
167,CTL,,0.1,0.19,2019
167,BFL,,0.1,0.19,2019
167,PGS,,0.29,0.19,2019
167,SHP,,0.13,0.19,2019
167,GTS,,0.13,0.19,2019
167,CML,,0.21,0.19,2019
167,CHK,LAY,0.39,0.19,2019
167,CHK,BRL,0.36,0.19,2019
171,CTL,DRY,0.13,0.19,2019
171,CTL,,0.1,0.19,2019
171,BFL,,0.1,0.19,2019
171,PGS,,0.29,0.19,2019
171,SHP,,0.13,0.19,2019
171,GTS,,0.13,0.19,2019
171,CML,,0.21,0.19,2019
171,CHK,LAY,0.39,0.19,2019
171,CHK,BRL,0.36,0.19,2019
196,CTL,DRY,0.13,0.19,2019
196,CTL,,0.1,0.19,2019
196,BFL,,0.1,0.19,2019
196,PGS,,0.29,0.19,2019
196,SHP,,0.13,0.19,2019
196,GTS,,0.13,0.19,2019
196,CML,,0.21,0.19,2019
196,CHK,LAY,0.39,0.19,2019
196,CHK,BRL,0.36,0.19,2019
202,CTL,DRY,0.13,0.19,2019
202,CTL,,0.1,0.19,2019
202,BFL,,0.1,0.19,2019
202,PGS,,0.29,0.19,2019
202,SHP,,0.13,0.19,2019
202,GTS,,0.13,0.19,2019
202,CML,,0.21,0.19,2019
202,CHK,LAY,0.39,0.19,2019
202,CHK,BRL,0.36,0.19,2019
222,CTL,DRY,0.13,0.19,2019
222,CTL,,0.1,0.19,2019
222,BFL,,0.1,0.19,2019
222,PGS,,0.29,0.19,2019
222,SHP,,0.13,0.19,2019
222,GTS,,0.13,0.19,2019
222,CML,,0.21,0.19,2019
222,CHK,LAY,0.39,0.19,2019
222,CHK,BRL,0.36,0.19,2019
240,CTL,DRY,0.13,0.19,2019
240,CTL,,0.1,0.19,2019
240,BFL,,0.1,0.19,2019
240,PGS,,0.29,0.19,2019
240,SHP,,0.13,0.19,2019
240,GTS,,0.13,0.19,2019
240,CML,,0.21,0.19,2019
240,CHK,LAY,0.39,0.19,2019
240,CHK,BRL,0.36,0.19,2019
242,CTL,DRY,0.13,0.19,2019
242,CTL,,0.1,0.19,2019
242,BFL,,0.1,0.19,2019
242,PGS,,0.29,0.19,2019
242,SHP,,0.13,0.19,2019
242,GTS,,0.13,0.19,2019
242,CML,,0.21,0.19,2019
242,CHK,LAY,0.39,0.19,2019
242,CHK,BRL,0.36,0.19,2019
264,CTL,DRY,0.13,0.19,2019
264,CTL,,0.1,0.19,2019
264,BFL,,0.1,0.19,2019
264,PGS,,0.29,0.19,2019
264,SHP,,0.13,0.19,2019
264,GTS,,0.13,0.19,2019
264,CML,,0.21,0.19,2019
264,CHK,LAY,0.39,0.19,2019
264,CHK,BRL,0.36,0.19,2019
13,CTL,DRY,0.24,0.19,2019
13,CTL,,0.17,0.19,2019
13,BFL,,0.1,0.19,2019
13,PGS,,0.45,0.19,2019
13,SHP,,0.19,0.19,2019
13,GTS,,0.18,0.19,2019
13,CML,,0.26,0.19,2019
13,CHK,LAY,0.39,0.19,2019
13,CHK,BRL,0.36,0.19,2019
19,CTL,DRY,0.24,0.19,2019
19,CTL,,0.17,0.19,2019
19,BFL,,0.1,0.19,2019
19,PGS,,0.45,0.19,2019
19,SHP,,0.19,0.19,2019
19,GTS,,0.18,0.19,2019
19,CML,,0.26,0.19,2019
19,CHK,LAY,0.39,0.19,2019
19,CHK,BRL,0.36,0.19,2019
26,CTL,DRY,0.24,0.19,2019
26,CTL,,0.17,0.19,2019
26,BFL,,0.1,0.19,2019
26,PGS,,0.45,0.19,2019
26,SHP,,0.19,0.19,2019
26,GTS,,0.18,0.19,2019
26,CML,,0.26,0.19,2019
26,CHK,LAY,0.39,0.19,2019
26,CHK,BRL,0.36,0.19,2019
41,CTL,DRY,0.24,0.19,2019
41,CTL,,0.17,0.19,2019
41,BFL,,0.1,0.19,2019
41,PGS,,0.45,0.19,2019
41,SHP,,0.19,0.19,2019
41,GTS,,0.18,0.19,2019
41,CML,,0.26,0.19,2019
41,CHK,LAY,0.39,0.19,2019
41,CHK,BRL,0.36,0.19,2019
64,CTL,DRY,0.24,0.19,2019
64,CTL,,0.17,0.19,2019
64,BFL,,0.1,0.19,2019
64,PGS,,0.45,0.19,2019
64,SHP,,0.19,0.19,2019
64,GTS,,0.18,0.19,2019
64,CML,,0.26,0.19,2019
64,CHK,LAY,0.39,0.19,2019
64,CHK,BRL,0.36,0.19,2019
65,CTL,DRY,0.24,0.19,2019
65,CTL,,0.17,0.19,2019
65,BFL,,0.1,0.19,2019
65,PGS,,0.45,0.19,2019
65,SHP,,0.19,0.19,2019
65,GTS,,0.18,0.19,2019
65,CML,,0.26,0.19,2019
65,CHK,LAY,0.39,0.19,2019
65,CHK,BRL,0.36,0.19,2019
92,CTL,DRY,0.24,0.19,2019
92,CTL,,0.17,0.19,2019
92,BFL,,0.1,0.19,2019
92,PGS,,0.45,0.19,2019
92,SHP,,0.19,0.19,2019
92,GTS,,0.18,0.19,2019
92,CML,,0.26,0.19,2019
92,CHK,LAY,0.39,0.19,2019
92,CHK,BRL,0.36,0.19,2019
113,CTL,DRY,0.24,0.19,2019
113,CTL,,0.17,0.19,2019
113,BFL,,0.1,0.19,2019
113,PGS,,0.45,0.19,2019
113,SHP,,0.19,0.19,2019
113,GTS,,0.18,0.19,2019
