Animal_short,fracgaspasture,fracgasdaily,fracgassolid,fracgassolidcov,fracgassolidbulk,fracgassolidadd,fracgasdrylot,fracgaspit1,fracgaspit3,fracgaspit4,fracgaspit6,fracgaspit12,fracgasliquid1,fracgasliquid3,fracgasliquid4,fracgasliquid6,fracgasliquid12,fracgasliquidnatcov1,fracgasliquidnatcov3,fracgasliquidnatcov4,fracgasliquidnatcov6,fracgasliquidnatcov12,fracgasliquidsolcov1,fracgasliquidsolcov3,fracgasliquidsolcov4,fracgasliquidsolcov6,fracgasliquidsolcov12,fracgaslagoon,fracgasbiogaslowleak1,fracgasbiogaslowleak2,fracgasbiogaslowleak3,fracgasbiogashighleak1,fracgasbiogashighleak2,fracgasbiogashighleak3,fracgasburned,fracgasdeepnomix2,fracgasdeepnomix1,fracgasdeepmix2,fracgasdeepmix1,fracgascompostves,fracgascompoststat,fracgascompostint,fracgascompostpass,fracgaslitter,fracgasnolitter,fracgasareobic,fracgasaerproc,HerdType_short,ADM0_CODE
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,2
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,2
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,2
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,2
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,2
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,2
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,3
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,3
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,3
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,3
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,3
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,3
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,3
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,3
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,4
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,4
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,4
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,4
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,4
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,4
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,4
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,4
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,5
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,5
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,5
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,5
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,5
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,5
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,5
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,5
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,7
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,7
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,7
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,7
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,7
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,7
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,7
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,7
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,8
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,8
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,8
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,8
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,8
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,8
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,8
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,8
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,9
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,9
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,9
CTL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,9
BFL,0.21,0.07,0.45,0.22,0.58,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,9
GTS,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,9
SHP,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,9
CML,0.21,0.07,0.12,0.05,0.15,0.04,0.3,0.25,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.09,0.09,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.18,0.2,0.2,0.18,0,0,0.27,0.27,,9
PGS,0.21,0.07,0.45,0.22,0.58,0.17,0.45,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.4,0.4,0.4,0.4,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,11
CTL,0.21,0.07,0.3,0.14,0.38,0.11,0.3,0.28,0.28,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.48,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.35,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.25,0.25,0.25,0.25,0.45,0.5,0.5,0.45,0,0,0.85,0.85,DRY,11
CHK,0.21,0.07,0.4,0.2,0.54,0.16,0,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.4,0.05,0.075,0.1125,0.16875,0.253125,0.3796875,0,0.3,0.3,0.3,0.3,0.6,0.65,0.65,0.6,0,0,0.85,0.85,,11
