herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	low_activity_fraction	high_activity_fraction	cohort_stock_size	offtake_heads_assessment	nondemo_productive_phase_id	is_egg_producing
7	BFL	FS	974	0.664	0.0111	0.0189	28057.0787745114	31462.123264623		
7	BFL	MA	1170	0	0.0111	0.0189	21656.5309466421	5693.83214533415		
7	BFL	MJ	60	0.906	0.0111	0.0189	6149.07084149851	96578.6533971126		
7	BFL	MS	974	0.906	0.0111	0.0189	2892.50944352592	7185.56019540175		
8	BFL	FA	1830	0	0.157	0.0431	44168651.6087817	6679315.82834119		
8	BFL	FJ	60	0.134	0.157	0.0431	2498355.80073363	2505861.12388584		
8	BFL	FS	1400	0.134	0.157	0.0431	40936587.9660686	6212245.08999733		
8	BFL	MA	2430	0	0.157	0.0431	4598859.54442868	454871.151739708		
8	BFL	MJ	60	0.862	0.157	0.0431	566593.289263099	15931538.6005336		
8	BFL	MS	1400	0.862	0.157	0.0431	30951.7907243048	68604.6872811141		
9	PGS	FA	890	0	0	0	1961145.43789459	736144.250256529		
9	PGS	FJ	27	0	0	0	2189363.78889505	0		
9	PGS	FN	60	1	0	0	3825923.30534447	0	1	
9	PGS	FN	110	1	0	0	6312773.45381835	9922230.04583408	2	
9	PGS	FS	359	0.948	0	0	892260.955483739	2901570.06628305		
9	PGS	MA	890	0	0	0	1520369.78714365	555498.725766072		
9	PGS	MJ	27	0	0	0	2189363.78889505	0		
9	PGS	MN	60	1	0	0	2957772.9792287	0	1	
9	PGS	MN	100	1	0	0	4251025.89482718	14699600.0679024	2	
9	PGS	MS	359	0.973	0	0	0.608469221721365	0.695353713311187		
10	PGS	FA	3650	0	0.2	0	339686.068065356	30648.9084948823		
10	PGS	FJ	90	0.2	0.2	0	372725.99043537	383585.122419017		
10	PGS	FN	90	1	0.2	0	125014.533305167	0	1	
10	PGS	FN	180	1	0.2	0	122275.15120269	234897.000994642	2	
10	PGS	FS	340	0.952	0.2	0	162437.776256208	558888.787541772		
10	PGS	MA	3650	0	0.2	0	214636.478678238	19346.7748172707		
10	PGS	MJ	90	0	0.2	0	419799.957790273	0		
10	PGS	MN	90	1	0.2	0	161413.856084349	0	1	
10	PGS	MN	180	1	0.2	0	157876.873489134	303289.783281759	2	
10	PGS	MS	340	0.974	0.2	0	174133.314693215	736780.892938744		
11	CML	FA	5000	0	1	0	3028327.44706306	136970.850184556		
11	CML	FJ	370	0	1	0	556741.55701959	0		
11	CML	FS	2190	0	1	0	2402477.56840919	0		
11	CML	MA	5000	0.004	1	0	47080.5934887761	2254.75990588307		
11	CML	MJ	370	0	1	0	556741.55701959	0		
11	CML	MS	2190	0.496	1	0	618631.2769998	431720.689497374		
12	CML	FA	5000	0	0	0	148890.884111919	6898.68363137059		
12	CML	FJ	365	0	0	0	50931.7285803687	0		
12	CML	FS	1280	0	0	0	113864.119596835	0		
12	CML	MA	5000	0.004	0	0	14609.7668635523	715.457463511935		
12	CML	MJ	365	0	0	0	50931.7285803687	0		
12	CML	MS	1280	0.5	0	0	50771.7722669562	35812.646875366		
13	CHK	FA	365	0.18	0.15	0.05	892.792962650236	532.704768963811		TRUE
13	CHK	FJ	3	0.08	0.15	0.05	114.099786877768	660.144066051755		FALSE
13	CHK	FS	167	0.12	0.15	0.05	2056.27029031973	332.090755089839		FALSE
13	CHK	MA	365	0.75	0.15	0.05	287.571839391595	303.090537163459		FALSE
13	CHK	MJ	3	0.12	0.15	0.05	112.419942387734	990.393969051365		FALSE
13	CHK	MS	167	0.7	0.15	0.05	1536.84517837294	2401.00325641738		FALSE
