herd_id	species_short	cohort_short	cohort_duration_days	offtake_rate	death_rate	high_activity_fraction	low_activity_fraction	ration_gross_energy	ration_metabolizable_energy	ration_nitrogen	ration_digestibility_fraction	ration_urinary_energy_fraction	ration_ash
4	SHP	MA	2680	0	0.0309	0.478	0.0218	17.929	8.0304	0.016861	0.563495829753329	0.11622	0.04
4	SHP	MJ	60	0.836	0.101	0.478	0.0218	20.4	19	0.0486	0.970588235294118	0.0392	0.04
4	SHP	MS	669	0.836	0.0309	0.478	0.0218	17.929	8.0304	0.016861	0.563495829753329	0.11622	0.04
5	GTS	FA	2230	0	0.02	0.245	0.109	18.358	10.105	0.02694	0.68496062232986	0.13615	0.04
5	GTS	FJ	60	0.737	0.05	0.245	0.109	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
5	GTS	FS	415	0.737	0.02	0.245	0.109	18.358	10.105	0.02694	0.68496062232986	0.13615	0.04
5	GTS	MA	1540	0	0.02	0.245	0.109	18.358	10.105	0.02694	0.68496062232986	0.13615	0.04
5	GTS	MJ	60	0.974	0.05	0.245	0.109	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
5	GTS	MS	415	0.974	0.02	0.245	0.109	18.358	10.105	0.02694	0.68496062232986	0.13615	0.04
6	GTS	FA	2110	0	0.127	0	0.75	17.85	7.91	0.01565	0.558056619170171	0.115	0.04
6	GTS	FJ	60	0.359	0.33	0	0.75	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
6	GTS	FS	564	0.359	0.127	0	0.75	17.85	7.91	0.01565	0.558056619170171	0.115	0.04
6	GTS	MA	2600	0	0.127	0	0.75	17.85	7.91	0.01565	0.558056619170171	0.115	0.04
6	GTS	MJ	60	0.644	0.33	0	0.75	21.9	20.4	0.0411	0.972602739726027	0.0411	0.04
6	GTS	MS	600	0.644	0.127	0	0.75	17.85	7.91	0.01565	0.558056619170171	0.115	0.04
7	BFL	FA	3650	0	0.04	0.0189	0.0111	18.888	10.594	0.0205852	0.68432487233309	0.124646	0.04
7	BFL	FJ	60	0.664	0.08	0.0189	0.0111	24.3	22.6	0.0445	0.97119341563786	0.0412	0.04
7	BFL	FS	974	0.664	0.04	0.0189	0.0111	18.888	10.594	0.0205852	0.68432487233309	0.124646	0.04
7	BFL	MA	1170	0	0.04	0.0189	0.0111	18.888	10.594	0.0205852	0.68432487233309	0.124646	0.04
7	BFL	MJ	60	0.906	0.08	0.0189	0.0111	24.3	22.6	0.0445	0.97119341563786	0.0412	0.04
7	BFL	MS	974	0.906	0.04	0.0189	0.0111	18.888	10.594	0.0205852	0.68432487233309	0.124646	0.04
8	BFL	FA	1830	0	0.1	0.0431	0.157	18.245	7.9301	0.0144556	0.536240499015486	0.103938	0.04
8	BFL	FJ	60	0.134	0.24	0.0431	0.157	24.3	22.6	0.0445	0.97119341563786	0.0412	0.04
8	BFL	FS	1400	0.134	0.1	0.0431	0.157	18.245	7.9301	0.0144556	0.536240499015486	0.103938	0.04
8	BFL	MA	2430	0	0.1	0.0431	0.157	18.245	7.9301	0.0144556	0.536240499015486	0.103938	0.04
8	BFL	MJ	60	0.862	0.53	0.0431	0.157	24.3	22.6	0.0445	0.97119341563786	0.0412	0.04
8	BFL	MS	1400	0.862	0.1	0.0431	0.157	18.245	7.9301	0.0144556	0.536240499015486	0.103938	0.04
9	PGS	FA	890	0	0.0603	0	0	18.857	14.185	0.034943	0.790296762581842	0.034718	0.04
9	PGS	FJ	27	0.948	0.13	0	0	25.8	24.1	0.0468	0.972868217054264	0.0388	0.04
9	PGS	FS	359	0.948	0.0509	0	0	18.857	14.185	0.034943	0.790296762581842	0.034718	0.04
9	PGS	MA	890	0	0.0603	0	0	18.857	14.185	0.034943	0.790296762581842	0.034718	0.04
9	PGS	MJ	27	0.973	0.13	0	0	25.8	24.1	0.0468	0.972868217054264	0.0388	0.04
9	PGS	MS	359	0.973	0.0516	0	0	18.857	14.185	0.034943	0.790296762581842	0.034718	0.04
10	PGS	FA	3650	0	0.02	0	0.2	18.236	9.235	0.0234152	0.549536391482469	0.046149	0.04
10	PGS	FJ	90	0.952	0.22	0	0.2	25.8	24.1	0.0468	0.972868217054264	0.0388	0.04
10	PGS	FS	340	0.952	0.031	0	0.2	18.236	9.235	0.0234152	0.549536391482469	0.046149	0.04
10	PGS	MA	3650	0	0.02	0	0.2	18.236	9.235	0.0234152	0.549536391482469	0.046149	0.04
10	PGS	MJ	90	0.974	0.22	0	0.2	25.8	24.1	0.0468	0.972868217054264	0.0388	0.04
10	PGS	MS	340	0.974	0.0305	0	0.2	18.236	9.235	0.0234152	0.549536391482469	0.046149	0.04
11	CML	FA	5000	0	0.063	0	1	18.14	8.8456	0.02174	0.613144762061043	0.12771	0.04
11	CML	FJ	370	0	0.28	0	1	22.2	20.7	0.04	0.972972972972973	0.0405	0.04
11	CML	FS	2190	0	0.03	0	1	18.14	8.8456	0.02174	0.613144762061043	0.12771	0.04
11	CML	MA	5000	0.004	0.063	0	1	18.14	8.8456	0.02174	0.613144762061043	0.12771	0.04
11	CML	MJ	370	0	0.28	0	1	22.2	20.7	0.04	0.972972972972973	0.0405	0.04
11	CML	MS	2190	0.496	0.03	0	1	18.14	8.8456	0.02174	0.613144762061043	0.12771	0.04
12	CML	FA	5000	0	0.06	0	0	18.116	8.6922	0.017612	0.596894110645384	0.11738	0.04
12	CML	FJ	365	0	0.2	0	0	22.2	20.7	0.04	0.972972972972973	0.0405	0.04
12	CML	FS	1280	0	0.03	0	0	18.116	8.6922	0.017612	0.596894110645384	0.11738	0.04
12	CML	MA	5000	0.004	0.06	0	0	18.116	8.6922	0.017612	0.596894110645384	0.11738	0.04
12	CML	MJ	365	0	0.2	0	0	22.2	20.7	0.04	0.972972972972973	0.0405	0.04
12	CML	MS	1280	0.5	0.03	0	0	18.116	8.6922	0.017612	0.596894110645384	0.11738	0.04
