herd_id,species_short,variable_name,commodity_name,commodity_type,allocation_share
3,SHP,co2_ration_luc_nopeat,Milk,Edible,0.160261132
3,SHP,co2_ration_luc_peat,Milk,Edible,0.160261132
3,SHP,co2_ration_pesticides,Milk,Edible,0.160261132
3,SHP,n2o_manure_other_direct,Milk,Edible,0.160261132
3,SHP,n2o_manure_other_indirect,Milk,Edible,0.160261132
3,SHP,n2o_ration_crop_residues,Milk,Edible,0.160261132
3,SHP,n2o_ration_fertilizer,Milk,Edible,0.160261132
3,SHP,n2o_ration_manure_applied,Milk,Edible,0.160261132
3,SHP,ch4_manure_burned,Other,Non-Edible,1
3,SHP,ch4_manure_pasture,Other,Non-Edible,1
3,SHP,n2o_manure_burned_direct,Other,Non-Edible,1
3,SHP,n2o_manure_burned_indirect,Other,Non-Edible,1
3,SHP,n2o_manure_pasture_direct,Other,Non-Edible,1
3,SHP,n2o_manure_pasture_indirect,Other,Non-Edible,1
4,SHP,ch4_enteric,Fibre,Non-Edible,0.174596488
4,SHP,ch4_manure_other,Fibre,Non-Edible,0.174596488
4,SHP,ch4_ration_rice,Fibre,Non-Edible,0.174596488
4,SHP,co2_ration_crop_activities,Fibre,Non-Edible,0.174596488
4,SHP,co2_ration_fertilizer,Fibre,Non-Edible,0.174596488
4,SHP,co2_ration_luc_nopeat,Fibre,Non-Edible,0.174596488
4,SHP,co2_ration_luc_peat,Fibre,Non-Edible,0.174596488
4,SHP,co2_ration_pesticides,Fibre,Non-Edible,0.174596488
4,SHP,n2o_manure_other_direct,Fibre,Non-Edible,0.174596488
4,SHP,n2o_manure_other_indirect,Fibre,Non-Edible,0.174596488
4,SHP,n2o_ration_crop_residues,Fibre,Non-Edible,0.174596488
4,SHP,n2o_ration_fertilizer,Fibre,Non-Edible,0.174596488
4,SHP,n2o_ration_manure_applied,Fibre,Non-Edible,0.174596488
4,SHP,ch4_enteric,Meat,Edible,0.825403512
4,SHP,ch4_manure_other,Meat,Edible,0.825403512
4,SHP,ch4_ration_rice,Meat,Edible,0.825403512
4,SHP,co2_ration_crop_activities,Meat,Edible,0.825403512
4,SHP,co2_ration_fertilizer,Meat,Edible,0.825403512
4,SHP,co2_ration_luc_nopeat,Meat,Edible,0.825403512
4,SHP,co2_ration_luc_peat,Meat,Edible,0.825403512
4,SHP,co2_ration_pesticides,Meat,Edible,0.825403512
4,SHP,n2o_manure_other_direct,Meat,Edible,0.825403512
4,SHP,n2o_manure_other_indirect,Meat,Edible,0.825403512
4,SHP,n2o_ration_crop_residues,Meat,Edible,0.825403512
4,SHP,n2o_ration_fertilizer,Meat,Edible,0.825403512
4,SHP,n2o_ration_manure_applied,Meat,Edible,0.825403512
4,SHP,ch4_manure_burned,Other,Non-Edible,1
4,SHP,ch4_manure_pasture,Other,Non-Edible,1
4,SHP,n2o_manure_burned_direct,Other,Non-Edible,1
4,SHP,n2o_manure_burned_indirect,Other,Non-Edible,1
4,SHP,n2o_manure_pasture_direct,Other,Non-Edible,1
4,SHP,n2o_manure_pasture_indirect,Other,Non-Edible,1
5,GTS,ch4_enteric,Fibre,Non-Edible,0.05647756
5,GTS,ch4_manure_other,Fibre,Non-Edible,0.05647756
5,GTS,ch4_ration_rice,Fibre,Non-Edible,0.05647756
5,GTS,co2_ration_crop_activities,Fibre,Non-Edible,0.05647756
5,GTS,co2_ration_fertilizer,Fibre,Non-Edible,0.05647756
5,GTS,co2_ration_luc_nopeat,Fibre,Non-Edible,0.05647756
5,GTS,co2_ration_luc_peat,Fibre,Non-Edible,0.05647756
5,GTS,co2_ration_pesticides,Fibre,Non-Edible,0.05647756
5,GTS,n2o_manure_other_direct,Fibre,Non-Edible,0.05647756
5,GTS,n2o_manure_other_indirect,Fibre,Non-Edible,0.05647756
5,GTS,n2o_ration_crop_residues,Fibre,Non-Edible,0.05647756
5,GTS,n2o_ration_fertilizer,Fibre,Non-Edible,0.05647756
5,GTS,n2o_ration_manure_applied,Fibre,Non-Edible,0.05647756
5,GTS,ch4_enteric,Meat,Edible,0.40669701
5,GTS,ch4_manure_other,Meat,Edible,0.40669701
5,GTS,ch4_ration_rice,Meat,Edible,0.40669701
5,GTS,co2_ration_crop_activities,Meat,Edible,0.40669701
5,GTS,co2_ration_fertilizer,Meat,Edible,0.40669701
5,GTS,co2_ration_luc_nopeat,Meat,Edible,0.40669701
5,GTS,co2_ration_luc_peat,Meat,Edible,0.40669701
5,GTS,co2_ration_pesticides,Meat,Edible,0.40669701
5,GTS,n2o_manure_other_direct,Meat,Edible,0.40669701
5,GTS,n2o_manure_other_indirect,Meat,Edible,0.40669701
5,GTS,n2o_ration_crop_residues,Meat,Edible,0.40669701
5,GTS,n2o_ration_fertilizer,Meat,Edible,0.40669701
5,GTS,n2o_ration_manure_applied,Meat,Edible,0.40669701
5,GTS,ch4_enteric,Milk,Edible,0.53682543
5,GTS,ch4_manure_other,Milk,Edible,0.53682543
5,GTS,ch4_ration_rice,Milk,Edible,0.53682543
5,GTS,co2_ration_crop_activities,Milk,Edible,0.53682543
5,GTS,co2_ration_fertilizer,Milk,Edible,0.53682543
5,GTS,co2_ration_luc_nopeat,Milk,Edible,0.53682543
5,GTS,co2_ration_luc_peat,Milk,Edible,0.53682543
5,GTS,co2_ration_pesticides,Milk,Edible,0.53682543
5,GTS,n2o_manure_other_direct,Milk,Edible,0.53682543
5,GTS,n2o_manure_other_indirect,Milk,Edible,0.53682543
5,GTS,n2o_ration_crop_residues,Milk,Edible,0.53682543
5,GTS,n2o_ration_fertilizer,Milk,Edible,0.53682543
5,GTS,n2o_ration_manure_applied,Milk,Edible,0.53682543
5,GTS,ch4_manure_burned,Other,Non-Edible,1
5,GTS,ch4_manure_pasture,Other,Non-Edible,1
5,GTS,n2o_manure_burned_direct,Other,Non-Edible,1
5,GTS,n2o_manure_burned_indirect,Other,Non-Edible,1
5,GTS,n2o_manure_pasture_direct,Other,Non-Edible,1
5,GTS,n2o_manure_pasture_indirect,Other,Non-Edible,1
6,GTS,ch4_enteric,Fibre,Non-Edible,0.110690493
6,GTS,ch4_manure_other,Fibre,Non-Edible,0.110690493
6,GTS,ch4_ration_rice,Fibre,Non-Edible,0.110690493
6,GTS,co2_ration_crop_activities,Fibre,Non-Edible,0.110690493
6,GTS,co2_ration_fertilizer,Fibre,Non-Edible,0.110690493
6,GTS,co2_ration_luc_nopeat,Fibre,Non-Edible,0.110690493
6,GTS,co2_ration_luc_peat,Fibre,Non-Edible,0.110690493
6,GTS,co2_ration_pesticides,Fibre,Non-Edible,0.110690493
6,GTS,n2o_manure_other_direct,Fibre,Non-Edible,0.110690493
6,GTS,n2o_manure_other_indirect,Fibre,Non-Edible,0.110690493
6,GTS,n2o_ration_crop_residues,Fibre,Non-Edible,0.110690493
6,GTS,n2o_ration_fertilizer,Fibre,Non-Edible,0.110690493
6,GTS,n2o_ration_manure_applied,Fibre,Non-Edible,0.110690493
6,GTS,ch4_enteric,Meat,Edible,0.889309507
6,GTS,ch4_manure_other,Meat,Edible,0.889309507
6,GTS,ch4_ration_rice,Meat,Edible,0.889309507
6,GTS,co2_ration_crop_activities,Meat,Edible,0.889309507
6,GTS,co2_ration_fertilizer,Meat,Edible,0.889309507
6,GTS,co2_ration_luc_nopeat,Meat,Edible,0.889309507
6,GTS,co2_ration_luc_peat,Meat,Edible,0.889309507
6,GTS,co2_ration_pesticides,Meat,Edible,0.889309507
6,GTS,n2o_manure_other_direct,Meat,Edible,0.889309507
6,GTS,n2o_manure_other_indirect,Meat,Edible,0.889309507
6,GTS,n2o_ration_crop_residues,Meat,Edible,0.889309507
6,GTS,n2o_ration_fertilizer,Meat,Edible,0.889309507
6,GTS,n2o_ration_manure_applied,Meat,Edible,0.889309507
6,GTS,ch4_manure_burned,Other,Non-Edible,1
6,GTS,ch4_manure_pasture,Other,Non-Edible,1
6,GTS,n2o_manure_burned_direct,Other,Non-Edible,1
6,GTS,n2o_manure_burned_indirect,Other,Non-Edible,1
6,GTS,n2o_manure_pasture_direct,Other,Non-Edible,1
6,GTS,n2o_manure_pasture_indirect,Other,Non-Edible,1
7,BFL,ch4_enteric,Meat,Edible,0.727306386
7,BFL,ch4_manure_other,Meat,Edible,0.727306386
7,BFL,ch4_ration_rice,Meat,Edible,0.727306386
7,BFL,co2_ration_crop_activities,Meat,Edible,0.727306386
7,BFL,co2_ration_fertilizer,Meat,Edible,0.727306386
7,BFL,co2_ration_luc_nopeat,Meat,Edible,0.727306386
7,BFL,co2_ration_luc_peat,Meat,Edible,0.727306386
7,BFL,co2_ration_pesticides,Meat,Edible,0.727306386
7,BFL,n2o_manure_other_direct,Meat,Edible,0.727306386
7,BFL,n2o_manure_other_indirect,Meat,Edible,0.727306386
7,BFL,n2o_ration_crop_residues,Meat,Edible,0.727306386
7,BFL,n2o_ration_fertilizer,Meat,Edible,0.727306386
7,BFL,n2o_ration_manure_applied,Meat,Edible,0.727306386
7,BFL,ch4_enteric,Milk,Edible,0.272693614
7,BFL,ch4_manure_other,Milk,Edible,0.272693614
7,BFL,ch4_ration_rice,Milk,Edible,0.272693614
7,BFL,co2_ration_crop_activities,Milk,Edible,0.272693614
7,BFL,co2_ration_fertilizer,Milk,Edible,0.272693614
7,BFL,co2_ration_luc_nopeat,Milk,Edible,0.272693614
7,BFL,co2_ration_luc_peat,Milk,Edible,0.272693614
7,BFL,co2_ration_pesticides,Milk,Edible,0.272693614
7,BFL,n2o_manure_other_direct,Milk,Edible,0.272693614
7,BFL,n2o_manure_other_indirect,Milk,Edible,0.272693614
7,BFL,n2o_ration_crop_residues,Milk,Edible,0.272693614
7,BFL,n2o_ration_fertilizer,Milk,Edible,0.272693614
7,BFL,n2o_ration_manure_applied,Milk,Edible,0.272693614
7,BFL,ch4_manure_burned,Other,Non-Edible,1
7,BFL,ch4_manure_pasture,Other,Non-Edible,1
7,BFL,n2o_manure_burned_direct,Other,Non-Edible,1
7,BFL,n2o_manure_burned_indirect,Other,Non-Edible,1
7,BFL,n2o_manure_pasture_direct,Other,Non-Edible,1
7,BFL,n2o_manure_pasture_indirect,Other,Non-Edible,1
8,BFL,ch4_enteric,Meat,Edible,0.473245657
8,BFL,ch4_manure_other,Meat,Edible,0.473245657
8,BFL,ch4_ration_rice,Meat,Edible,0.473245657
8,BFL,co2_ration_crop_activities,Meat,Edible,0.473245657
8,BFL,co2_ration_fertilizer,Meat,Edible,0.473245657
8,BFL,co2_ration_luc_nopeat,Meat,Edible,0.473245657
8,BFL,co2_ration_luc_peat,Meat,Edible,0.473245657
8,BFL,co2_ration_pesticides,Meat,Edible,0.473245657
8,BFL,n2o_manure_other_direct,Meat,Edible,0.473245657
8,BFL,n2o_manure_other_indirect,Meat,Edible,0.473245657
8,BFL,n2o_ration_crop_residues,Meat,Edible,0.473245657
8,BFL,n2o_ration_fertilizer,Meat,Edible,0.473245657
8,BFL,n2o_ration_manure_applied,Meat,Edible,0.473245657
8,BFL,ch4_enteric,Milk,Edible,0.514857628
8,BFL,ch4_manure_other,Milk,Edible,0.514857628
8,BFL,ch4_ration_rice,Milk,Edible,0.514857628
8,BFL,co2_ration_crop_activities,Milk,Edible,0.514857628
8,BFL,co2_ration_fertilizer,Milk,Edible,0.514857628
8,BFL,co2_ration_luc_nopeat,Milk,Edible,0.514857628
8,BFL,co2_ration_luc_peat,Milk,Edible,0.514857628
8,BFL,co2_ration_pesticides,Milk,Edible,0.514857628
8,BFL,n2o_manure_other_direct,Milk,Edible,0.514857628
8,BFL,n2o_manure_other_indirect,Milk,Edible,0.514857628
8,BFL,n2o_ration_crop_residues,Milk,Edible,0.514857628
8,BFL,n2o_ration_fertilizer,Milk,Edible,0.514857628
8,BFL,n2o_ration_manure_applied,Milk,Edible,0.514857628
8,BFL,ch4_manure_burned,Other,Non-Edible,1
8,BFL,ch4_manure_pasture,Other,Non-Edible,1
8,BFL,n2o_manure_burned_direct,Other,Non-Edible,1
8,BFL,n2o_manure_burned_indirect,Other,Non-Edible,1
8,BFL,n2o_manure_pasture_direct,Other,Non-Edible,1
8,BFL,n2o_manure_pasture_indirect,Other,Non-Edible,1
8,BFL,ch4_enteric,Work,Non-Edible,0.011896715
8,BFL,ch4_manure_other,Work,Non-Edible,0.011896715
8,BFL,ch4_ration_rice,Work,Non-Edible,0.011896715
8,BFL,co2_ration_crop_activities,Work,Non-Edible,0.011896715
8,BFL,co2_ration_fertilizer,Work,Non-Edible,0.011896715
8,BFL,co2_ration_luc_nopeat,Work,Non-Edible,0.011896715
8,BFL,co2_ration_luc_peat,Work,Non-Edible,0.011896715
8,BFL,co2_ration_pesticides,Work,Non-Edible,0.011896715
8,BFL,n2o_manure_other_direct,Work,Non-Edible,0.011896715
8,BFL,n2o_manure_other_indirect,Work,Non-Edible,0.011896715
8,BFL,n2o_ration_crop_residues,Work,Non-Edible,0.011896715
8,BFL,n2o_ration_fertilizer,Work,Non-Edible,0.011896715
8,BFL,n2o_ration_manure_applied,Work,Non-Edible,0.011896715
9,PGS,ch4_enteric,Meat,Edible,1
9,PGS,ch4_manure_other,Meat,Edible,1
9,PGS,ch4_ration_rice,Meat,Edible,1
9,PGS,co2_ration_crop_activities,Meat,Edible,1
9,PGS,co2_ration_fertilizer,Meat,Edible,1
9,PGS,co2_ration_luc_nopeat,Meat,Edible,1
9,PGS,co2_ration_luc_peat,Meat,Edible,1
9,PGS,co2_ration_pesticides,Meat,Edible,1
9,PGS,n2o_manure_other_direct,Meat,Edible,1
9,PGS,n2o_manure_other_indirect,Meat,Edible,1
9,PGS,n2o_ration_crop_residues,Meat,Edible,1
9,PGS,n2o_ration_fertilizer,Meat,Edible,1
9,PGS,n2o_ration_manure_applied,Meat,Edible,1
9,PGS,ch4_manure_burned,Other,Non-Edible,1
9,PGS,ch4_manure_pasture,Other,Non-Edible,1
9,PGS,n2o_manure_burned_direct,Other,Non-Edible,1
9,PGS,n2o_manure_burned_indirect,Other,Non-Edible,1
9,PGS,n2o_manure_pasture_direct,Other,Non-Edible,1
9,PGS,n2o_manure_pasture_indirect,Other,Non-Edible,1
10,PGS,ch4_enteric,Meat,Edible,1
10,PGS,ch4_manure_other,Meat,Edible,1
10,PGS,ch4_ration_rice,Meat,Edible,1
10,PGS,co2_ration_crop_activities,Meat,Edible,1
10,PGS,co2_ration_fertilizer,Meat,Edible,1
10,PGS,co2_ration_luc_nopeat,Meat,Edible,1
10,PGS,co2_ration_luc_peat,Meat,Edible,1
10,PGS,co2_ration_pesticides,Meat,Edible,1
10,PGS,n2o_manure_other_direct,Meat,Edible,1
10,PGS,n2o_manure_other_indirect,Meat,Edible,1
10,PGS,n2o_ration_crop_residues,Meat,Edible,1
10,PGS,n2o_ration_fertilizer,Meat,Edible,1
10,PGS,n2o_ration_manure_applied,Meat,Edible,1
10,PGS,ch4_manure_burned,Other,Non-Edible,1
10,PGS,ch4_manure_pasture,Other,Non-Edible,1
10,PGS,n2o_manure_burned_direct,Other,Non-Edible,1
10,PGS,n2o_manure_burned_indirect,Other,Non-Edible,1
10,PGS,n2o_manure_pasture_direct,Other,Non-Edible,1
10,PGS,n2o_manure_pasture_indirect,Other,Non-Edible,1
11,CML,ch4_enteric,Fibre,Non-Edible,0.032810357
11,CML,ch4_manure_other,Fibre,Non-Edible,0.032810357
11,CML,ch4_ration_rice,Fibre,Non-Edible,0.032810357
11,CML,co2_ration_crop_activities,Fibre,Non-Edible,0.032810357
11,CML,co2_ration_fertilizer,Fibre,Non-Edible,0.032810357
11,CML,co2_ration_luc_nopeat,Fibre,Non-Edible,0.032810357
11,CML,co2_ration_luc_peat,Fibre,Non-Edible,0.032810357
11,CML,co2_ration_pesticides,Fibre,Non-Edible,0.032810357
11,CML,n2o_manure_other_direct,Fibre,Non-Edible,0.032810357
11,CML,n2o_manure_other_indirect,Fibre,Non-Edible,0.032810357
11,CML,n2o_ration_crop_residues,Fibre,Non-Edible,0.032810357
11,CML,n2o_ration_fertilizer,Fibre,Non-Edible,0.032810357
11,CML,n2o_ration_manure_applied,Fibre,Non-Edible,0.032810357
11,CML,ch4_enteric,Meat,Edible,0.796458654
11,CML,ch4_manure_other,Meat,Edible,0.796458654
11,CML,ch4_ration_rice,Meat,Edible,0.796458654
11,CML,co2_ration_crop_activities,Meat,Edible,0.796458654
11,CML,co2_ration_fertilizer,Meat,Edible,0.796458654
11,CML,co2_ration_luc_nopeat,Meat,Edible,0.796458654
11,CML,co2_ration_luc_peat,Meat,Edible,0.796458654
11,CML,co2_ration_pesticides,Meat,Edible,0.796458654
11,CML,n2o_manure_other_direct,Meat,Edible,0.796458654
11,CML,n2o_manure_other_indirect,Meat,Edible,0.796458654
11,CML,n2o_ration_crop_residues,Meat,Edible,0.796458654
11,CML,n2o_ration_fertilizer,Meat,Edible,0.796458654
11,CML,n2o_ration_manure_applied,Meat,Edible,0.796458654
11,CML,ch4_enteric,Milk,Edible,0.169405394
11,CML,ch4_manure_other,Milk,Edible,0.169405394
11,CML,ch4_ration_rice,Milk,Edible,0.169405394
11,CML,co2_ration_crop_activities,Milk,Edible,0.169405394
11,CML,co2_ration_fertilizer,Milk,Edible,0.169405394
11,CML,co2_ration_luc_nopeat,Milk,Edible,0.169405394
11,CML,co2_ration_luc_peat,Milk,Edible,0.169405394
11,CML,co2_ration_pesticides,Milk,Edible,0.169405394
11,CML,n2o_manure_other_direct,Milk,Edible,0.169405394
11,CML,n2o_manure_other_indirect,Milk,Edible,0.169405394
11,CML,n2o_ration_crop_residues,Milk,Edible,0.169405394
11,CML,n2o_ration_fertilizer,Milk,Edible,0.169405394
11,CML,n2o_ration_manure_applied,Milk,Edible,0.169405394
11,CML,ch4_manure_burned,Other,Non-Edible,1
11,CML,ch4_manure_pasture,Other,Non-Edible,1
11,CML,n2o_manure_burned_direct,Other,Non-Edible,1
11,CML,n2o_manure_burned_indirect,Other,Non-Edible,1
11,CML,n2o_manure_pasture_direct,Other,Non-Edible,1
11,CML,n2o_manure_pasture_indirect,Other,Non-Edible,1
11,CML,ch4_enteric,Work,Non-Edible,0.001325596
11,CML,ch4_manure_other,Work,Non-Edible,0.001325596
11,CML,ch4_ration_rice,Work,Non-Edible,0.001325596
11,CML,co2_ration_crop_activities,Work,Non-Edible,0.001325596
11,CML,co2_ration_fertilizer,Work,Non-Edible,0.001325596
11,CML,co2_ration_luc_nopeat,Work,Non-Edible,0.001325596
11,CML,co2_ration_luc_peat,Work,Non-Edible,0.001325596
11,CML,co2_ration_pesticides,Work,Non-Edible,0.001325596
11,CML,n2o_manure_other_direct,Work,Non-Edible,0.001325596
11,CML,n2o_manure_other_indirect,Work,Non-Edible,0.001325596
11,CML,n2o_ration_crop_residues,Work,Non-Edible,0.001325596
11,CML,n2o_ration_fertilizer,Work,Non-Edible,0.001325596
11,CML,n2o_ration_manure_applied,Work,Non-Edible,0.001325596
12,CML,ch4_enteric,Fibre,Non-Edible,0.015354425
12,CML,ch4_manure_other,Fibre,Non-Edible,0.015354425
12,CML,ch4_ration_rice,Fibre,Non-Edible,0.015354425
12,CML,co2_ration_crop_activities,Fibre,Non-Edible,0.015354425
12,CML,co2_ration_fertilizer,Fibre,Non-Edible,0.015354425
12,CML,co2_ration_luc_nopeat,Fibre,Non-Edible,0.015354425
12,CML,co2_ration_luc_peat,Fibre,Non-Edible,0.015354425
12,CML,co2_ration_pesticides,Fibre,Non-Edible,0.015354425
12,CML,n2o_manure_other_direct,Fibre,Non-Edible,0.015354425
12,CML,n2o_manure_other_indirect,Fibre,Non-Edible,0.015354425
12,CML,n2o_ration_crop_residues,Fibre,Non-Edible,0.015354425
12,CML,n2o_ration_fertilizer,Fibre,Non-Edible,0.015354425
12,CML,n2o_ration_manure_applied,Fibre,Non-Edible,0.015354425
12,CML,ch4_enteric,Meat,Edible,0.812269018
12,CML,ch4_manure_other,Meat,Edible,0.812269018
12,CML,ch4_ration_rice,Meat,Edible,0.812269018
12,CML,co2_ration_crop_activities,Meat,Edible,0.812269018
12,CML,co2_ration_fertilizer,Meat,Edible,0.812269018
12,CML,co2_ration_luc_nopeat,Meat,Edible,0.812269018
12,CML,co2_ration_luc_peat,Meat,Edible,0.812269018
12,CML,co2_ration_pesticides,Meat,Edible,0.812269018
12,CML,n2o_manure_other_direct,Meat,Edible,0.812269018
12,CML,n2o_manure_other_indirect,Meat,Edible,0.812269018
12,CML,n2o_ration_crop_residues,Meat,Edible,0.812269018
12,CML,n2o_ration_fertilizer,Meat,Edible,0.812269018
12,CML,n2o_ration_manure_applied,Meat,Edible,0.812269018
12,CML,ch4_enteric,Milk,Edible,0.168800024
12,CML,ch4_manure_other,Milk,Edible,0.168800024
12,CML,ch4_ration_rice,Milk,Edible,0.168800024
12,CML,co2_ration_crop_activities,Milk,Edible,0.168800024
12,CML,co2_ration_fertilizer,Milk,Edible,0.168800024
12,CML,co2_ration_luc_nopeat,Milk,Edible,0.168800024
12,CML,co2_ration_luc_peat,Milk,Edible,0.168800024
12,CML,co2_ration_pesticides,Milk,Edible,0.168800024
12,CML,n2o_manure_other_direct,Milk,Edible,0.168800024
12,CML,n2o_manure_other_indirect,Milk,Edible,0.168800024
12,CML,n2o_ration_crop_residues,Milk,Edible,0.168800024
12,CML,n2o_ration_fertilizer,Milk,Edible,0.168800024
12,CML,n2o_ration_manure_applied,Milk,Edible,0.168800024
12,CML,ch4_manure_burned,Other,Non-Edible,1
12,CML,ch4_manure_pasture,Other,Non-Edible,1
12,CML,n2o_manure_burned_direct,Other,Non-Edible,1
12,CML,n2o_manure_burned_indirect,Other,Non-Edible,1
12,CML,n2o_manure_pasture_direct,Other,Non-Edible,1
