variable,input_table,species_short,cohort_short,has_herd_structure,requirement,condition,lower_bound,lower_inclusive,upper_bound,upper_inclusive,range_species_short,range_cohort_short,comparison_operator,comparison_variable,validation_function,run_demographic_herd,run_weights,run_ration_quality,run_metabolic_energy_req,run_emissions_enteric,run_nitrogen_balance,run_emissions_manure,run_emissions_ration,run_production,run_allocation,run_aggregation,run_gleam,evidence_function
draught_fraction_male,herd_level_data,CML,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_fraction_male,herd_level_data,CTL,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_female,herd_level_data,BFL,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_female,herd_level_data,CML,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_female,herd_level_data,CTL,FA,ANY,R,Draught work calculated only for adult females of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_male,herd_level_data,BFL,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_male,herd_level_data,CML,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
draught_work_hours_male,herd_level_data,CTL,MA,ANY,R,Draught work calculated only for adult males of draught-capable species.,0,TRUE,24,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_work
duration,"",ANY,ANY,"","","",1,TRUE,5000,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
egg_allocation_energy,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_ash,feed_params,ANY,ANY,ANY,R,Ration ash contributes to volatile-solids calculation.,0,TRUE,25,TRUE,ANY,ANY,"","","","","",X,"","","",X,"","","","",X,calc_ration_ash; calc_volatile_solids
feed_digestibility_fraction_chicken,"",ANY,ANY,"","","",0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_digestibility_fraction_pigs,"",ANY,ANY,"","","",0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_digestibility_fraction_ruminant,"",ANY,ANY,"","","",0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_digestible_energy_pigs,feed_params,PGS,ANY,ANY,R,Pig-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_digestible_energy_ruminant,feed_params,BFL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_digestible_energy_ruminant,feed_params,CML,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_digestible_energy_ruminant,feed_params,CTL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_digestible_energy_ruminant,feed_params,GTS,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_digestible_energy_ruminant,feed_params,SHP,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,,,,,"","","","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_gross_energy,feed_params,ANY,ANY,ANY,R,"",0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_ration_gross_energy; calc_feed_digestibility_fraction
feed_metabolizable_energy_chicken,"",ANY,ANY,"","","",0,TRUE,45,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_metabolizable_energy_pigs,feed_params,PGS,ANY,ANY,R,Pig-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_metabolizable_energy_ruminant,feed_params,BFL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_metabolizable_energy_ruminant,feed_params,CML,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_metabolizable_energy_ruminant,feed_params,CTL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_metabolizable_energy_ruminant,feed_params,GTS,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_metabolizable_energy_ruminant,feed_params,SHP,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,45,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_nitrogen_content,feed_params,ANY,ANY,ANY,R,Ration nitrogen is computed for all species/cohorts and then used in N balance.,0,TRUE,0.15,TRUE,ANY,ANY,"","","","","",X,"","",X,"","","","","",X,calc_ration_nitrogen_content; calc_nitrogen_intake
feed_ration_fraction,feed_rations,ANY,ANY,ANY,R,Each requested cohort needs a ration; fractions weight feed quality and feed emission factors.,0,TRUE,1,TRUE,ANY,ANY,"","","","","",X,"","","","",X,"","","",X,run_ration_quality_module; run_emissions_ration_module
feed_urinary_energy_chicken,"",ANY,ANY,"","","",0,TRUE,0.5,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
feed_urinary_energy_pigs,feed_params,PGS,ANY,ANY,R,Pig-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_urinary_energy_ruminant,feed_params,BFL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_urinary_energy_ruminant,feed_params,CML,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_urinary_energy_ruminant,feed_params,CTL,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_urinary_energy_ruminant,feed_params,GTS,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
feed_urinary_energy_ruminant,feed_params,SHP,ANY,ANY,R,Ruminant/camel-specific feed quality parameter.,0,TRUE,0.5,TRUE,ANY,ANY,"","","","","",X,"","","","","","","","",X,calc_feed_digestibility_fraction / calc_ration_metabolizable_energy / calc_ration_urinary_energy_fraction
fem_birth_fraction,"",ANY,ANY,"","","",0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
fibre_allocation_energy,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
fibre_yield_year,herd_level_data,CML,FA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,CML,FS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,CML,MA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,CML,MS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,GTS,FA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,GTS,FS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,GTS,MA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,GTS,MS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,SHP,FA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,SHP,FS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,SHP,MA,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
fibre_yield_year,herd_level_data,SHP,MS,ANY,R,Fibre-producing species and producing cohorts only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","",X,"",X,"","",X,"","",X,calc_metabolic_energy_req_fibre; calc_nitrogen_retention; calc_fibre_production
herd_id,cohort_level_data,ANY,ANY,ANY,R,"",,,,,"","","","","",X,X,X,X,X,X,X,X,X,X,X,X,run_gleam / module joins
herd_size_total,herd_level_data,ANY,ANY,FALSE,R,Required only to generate demographic herd structure.,1,TRUE,Inf,TRUE,ANY,ANY,"","","",X,"","","","","","","","","","",X,run_demographic_herd_module / calc_fecundity_rates / scaling
high_activity_fraction,cohort_level_data,BFL,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
high_activity_fraction,cohort_level_data,CTL,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
high_activity_fraction,cohort_level_data,GTS,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
high_activity_fraction,cohort_level_data,SHP,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
lactating_females_fraction,herd_level_data,BFL,FA,ANY,R,Only adult females produce milk; energy and production scale by lactating fraction.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","",X,"","",X,calc_metabolic_energy_req_lactation; calc_milk_production
lactating_females_fraction,herd_level_data,CML,FA,ANY,R,Only adult females produce milk; energy and production scale by lactating fraction.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","",X,"","",X,calc_metabolic_energy_req_lactation; calc_milk_production
lactating_females_fraction,herd_level_data,CTL,FA,ANY,R,Only adult females produce milk; energy and production scale by lactating fraction.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","",X,"","",X,calc_metabolic_energy_req_lactation; calc_milk_production
lactating_females_fraction,herd_level_data,GTS,FA,ANY,R,Only adult females produce milk; energy and production scale by lactating fraction.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","",X,"","",X,calc_metabolic_energy_req_lactation; calc_milk_production
lactating_females_fraction,herd_level_data,SHP,FA,ANY,R,Only adult females produce milk; energy and production scale by lactating fraction.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","",X,"","",X,calc_metabolic_energy_req_lactation; calc_milk_production
lactation_duration,herd_level_data,PGS,FA,ANY,R,Used in sow lactation and adult-female pregnancy cycle adjustment.,,,,,"","","","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
litsize,"",ANY,ANY,"","","",0.01,TRUE,25,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
litter_size,herd_level_data,ANY,ANY,FALSE,R,Herd-level reproductive parameter required whenever demographic herd structure is generated.,0.01,TRUE,25,TRUE,ANY,ANY,"","","",X,"","","","","","","","","","",X,calc_fecundity_rates / run_demographic_herd_module
litter_size,herd_level_data,GTS,FA,ANY,R,Used for offspring milk requirement and FA pregnancy coefficient.,0.01,TRUE,25,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
litter_size,herd_level_data,PGS,FA,ANY,R,Used in sow lactation/pregnancy energy and reproductive N retention.,0.01,TRUE,25,TRUE,ANY,ANY,"","","","","","",X,"",X,"","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy; calc_nitrogen_retention
litter_size,herd_level_data,PGS,FS,ANY,R,Used in PGS FS pregnancy energy and reproductive N retention.,0.01,TRUE,25,TRUE,ANY,ANY,"","","","","","",X,"",X,"","","","","",X,calc_metabolic_energy_req_pregnancy; calc_nitrogen_retention
litter_size,herd_level_data,SHP,FA,ANY,R,Used for offspring milk requirement and FA pregnancy coefficient.,0.01,TRUE,25,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
live_weight_at_birth,"",ANY,ANY,"","","",0,TRUE,1000,TRUE,ANY,ANY,<,live_weight_at_weaning,calc_nitrogen_retention;run_metabolic_energy_req_module,"","","","","","","","","","","","",""
live_weight_at_birth,"",ANY,FA,"","","",0,TRUE,1000,TRUE,ANY,ANY,<,live_weight_at_weaning,calc_metabolic_energy_req_lactation,"","","","","","","","","","","","",""
live_weight_at_birth,herd_level_data,ANY,FJ,ANY,R,Initial live weight of juvenile cohorts.,0,TRUE,1000,TRUE,ANY,ANY,<,live_weight_at_weaning,calc_cohort_weights;run_weights_module,"",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_birth,herd_level_data,ANY,MJ,ANY,R,Initial live weight of juvenile cohorts.,0,TRUE,1000,TRUE,ANY,ANY,<,live_weight_at_weaning,calc_cohort_weights;run_weights_module,"",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_birth,herd_level_data,BFL,ANY,ANY,R,Used by meat allocation energy for all non-pig species.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
live_weight_at_birth,herd_level_data,BFL,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_birth,herd_level_data,CML,ANY,ANY,R,Used by meat allocation energy for all non-pig species.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
live_weight_at_birth,herd_level_data,CML,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_birth,herd_level_data,CTL,ANY,ANY,R,Used by meat allocation energy for all non-pig species.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
live_weight_at_birth,herd_level_data,CTL,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_birth,herd_level_data,GTS,ANY,ANY,R,Used by meat allocation energy for all non-pig species.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
live_weight_at_birth,herd_level_data,GTS,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_birth,herd_level_data,PGS,FA,ANY,R,PGS FA: lactation + reproductive N retention; PGS FS: reproductive N retention.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"",X,"","","","","",X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention
live_weight_at_birth,herd_level_data,PGS,FS,ANY,R,PGS FA: lactation + reproductive N retention; PGS FS: reproductive N retention.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"",X,"","","","","",X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention
live_weight_at_birth,herd_level_data,SHP,ANY,ANY,R,Used by meat allocation energy for all non-pig species.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
live_weight_at_birth,herd_level_data,SHP,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_weaning,herd_level_data,ANY,FJ,ANY,R,Juvenile final/slaughter weight and subadult initial weight.,0,TRUE,1000,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_weaning,herd_level_data,ANY,FS,ANY,R,Juvenile final/slaughter weight and subadult initial weight.,0,TRUE,1000,TRUE,ANY,ANY,<=,live_weight_female_at_slaughter,calc_cohort_weights;run_weights_module,"",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_weaning,herd_level_data,ANY,MJ,ANY,R,Juvenile final/slaughter weight and subadult initial weight.,0,TRUE,1000,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_weaning,herd_level_data,ANY,MS,ANY,R,Juvenile final/slaughter weight and subadult initial weight.,0,TRUE,1000,TRUE,ANY,ANY,<=,live_weight_male_at_slaughter,calc_cohort_weights;run_weights_module,"",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_at_weaning,herd_level_data,BFL,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_weaning,herd_level_data,CML,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_weaning,herd_level_data,CTL,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_at_weaning,herd_level_data,GTS,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
