herd_id,Animal_short,LPS_short,cohort,assessment_duration,size,duration,offtake_rate,offtake_number,afc,litsize,parturition_rate,lambing_interval,idle,gest,dr1,weaning_age,lact,initial_weight,potential_final_weight,slaughter_weight,adult_weight,ckg,wkg,diet_dig,diet_ge,diet_me,diet_nitrogen,activity_fraction,high_activity_fraction,work_hours,draught_fraction,milking_fraction,milk_yield,milk_fat,milk_protein,lactose,carcass_dressing_percentage,bone_free_meat_fraction,meat_protein,fibre_prod,ipcc_method,b0_mms_all,b0_mms_pasture,mcf_pasture,mcf_burned,mcf_other,ef3_pasture,ef3_burned,ef3_other,fracgas_pasture,fracgas_burned,fracgas_other,ef4,fracleach_pasture,fracleach_burned,fracleach_other,ef5
2,CTL,GRS,MJ,365,540000,240,0.68,1070000,4,1,0.67,0,0,283,0.15,240,0,30,40,40,400,30,200,0.97,22,20,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
2,CTL,GRS,MS,365,290000,1400,0.68,325000,4,1,0.67,0,0,283,0.15,240,0,40,400,600,400,30,200,0.56,18,8,0.02,0.5,0,1.1,0.1,1,1.6,0.043,0.036,0.05,0.65,0.65,0.21,0,2006,0.13,0.13,0.019,0,0.001,0.0095,0,0.001,0.144000006,0,0.0336,0.01,0.216000009,0,0.042,0.0075
3,GTS,GRS,FA,365,3100000,2500,0,290000,1.9,1,0.77,400,0,150,0.21,105,0,30,30,30,30,2,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
3,GTS,GRS,FJ,365,230000,100,0.39,448000,1.9,1,0.77,400,0,150,0.21,105,0,2,4,4,30,2,20,0.97,22,20,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
3,GTS,GRS,FS,365,680000,630,0.39,332000,1.9,1,0.77,400,0,150,0.21,105,0,4,30,30,30,2,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
3,GTS,GRS,MA,365,2e+06,4800,0,64600,1.9,1,0.77,400,0,150,0.21,105,0,30,30,30,30,2,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
3,GTS,GRS,MJ,365,160000,100,0.7,798000,1.9,1,0.77,400,0,150,0.21,105,0,2,5,5,30,2,20,0.97,22,20,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
3,GTS,GRS,MS,365,160000,630,0.7,196000,1.9,1,0.77,400,0,150,0.21,105,0,5,30,30,30,2,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.19,0.053,0.043,0.041,0.65,0.65,0.19,0,2006,0.13,0.13,0,0,0.057899999,0,0,0.01787,0,0,0.390999994,0.01,0,0,0.417999994,0.0075
4,PGS,BCK,FA,365,120000,3600,0,10600,1.2,7,1.6,0,23,115,0.22,30,90,60,60,60,60,1,6,0.6,18,6.7,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
4,PGS,BCK,FJ,365,11000,30,0.95,616000,1.2,7,1.6,0,23,115,0.22,30,90,1,6,6,60,1,6,0.97,26,24,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
4,PGS,BCK,FS,365,870,340,0.95,2800,1.2,7,1.6,0,23,115,0.22,30,90,6,60,60,60,1,6,0.6,18,6.7,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
4,PGS,BCK,MA,365,120000,3600,0,10200,1.2,7,1.6,0,23,115,0.22,30,90,70,70,70,70,1,6,0.6,18,6.7,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
4,PGS,BCK,MJ,365,7700,30,0.97,629000,1.2,7,1.6,0,23,115,0.22,30,90,1,6,6,70,1,6,0.97,26,24,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
4,PGS,BCK,MS,365,40,340,0.97,153,1.2,7,1.6,0,23,115,0.22,30,90,6,70,60,70,1,6,0.6,18,6.7,0.02,0.5,0,0,0,0,0,0,0,0.05,0.65,0.65,0.2,0,2006,0.29,0.29,0.014213359,0,0.000854494,0.009475573,0,0.001008142,0.189999998,0,0.015,0.01,0.284999996,0,0.015,0.0075
5,SHP,GRS,FA,365,1500000,1500,0,243000,1.5,1,0.79,300,0,152,0.16,105,0,30,30,30,30,3,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
5,SHP,GRS,FJ,365,130000,100,0.27,149000,1.5,1,0.79,300,0,152,0.16,105,0,3,6,6,30,3,20,0.97,20,19,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
5,SHP,GRS,FS,365,420000,490,0.27,132000,1.5,1,0.79,300,0,152,0.16,105,0,6,30,30,30,3,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
5,SHP,GRS,MA,365,580000,3800,0,22600,1.5,1,0.79,300,0,152,0.16,105,0,40,40,40,40,3,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
5,SHP,GRS,MJ,365,69000,100,0.8,435000,1.5,1,0.79,300,0,152,0.16,105,0,3,6,6,40,3,20,0.97,20,19,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
5,SHP,GRS,MS,365,38000,490,0.8,64400,1.5,1,0.79,300,0,152,0.16,105,0,6,40,30,40,3,20,0.6,18,8.6,0.02,0.5,0,0,0,1,0.1,0.064,0.054,0.05,0.65,0.65,0.2,0.5,2006,0.13,0.13,0.005677361,0,0.012011302,0.007569814,0,0.010816989,0.1,0,0.15,0.01,0.15,0,0.15,0.0075
